// Attack Damage Table
{
// 1-5  1-4  1-3  1-2  1-1  2-1  3-1  4-1  5-1  6-1  7-1  8-1
//-------------------------------------------------------------
"    1    1    1    5   10   15   20   25   30   40   50   60"
"    2    3    5   10   15   20   25   30   40   50   60   70"
"    3    5   10   15   20   25   30   40   50   60   70   80"
"    5   10   15   20   25   30   40   50   60   70   80   90"
"   10   15   20   25   30   40   50   60   70   80   90  100"
"   15   20   25   30   40   50   60   70   80   90  100  100"
"   20   25   30   40   50   60   70   80   90  100  100  100"
"   25   30   40   50   60   70   80   90  100  100  100  100"
"   30   40   50   60   70   80   90  100  100  100  100  100"
"   40   50   60   70   80   90  100  100  100  100  100  100"
}
